"workerId","batch","bonus","condition","duration","n_data_conds","n_trials","gender","age","education","chart_use","problems","abs_err","causal_support","count_GT","count_GnT","count_nGT","count_nGnT","ground_truth","interactions","n","p_treat","payoff","q_idx","response_A","response_B","total_GT","total_GnT","total_nGT","total_nGnT","trial","trial_dur","trial_idx","userInput"
"6157b65e",4,0.25,"filtbars",579.598000049591,16,18,"woman","45-54","Bachelor's degree","Weekly","no.",0.443379531833308,2.81309812622075,7,11,2,10,0.943379531833308,"filterTreatment_clearFilters_filterNoTreatment_clearFilters_filterTreatment_clearFilters_filterNoTreatment",100,0.4,0,13,50,50,23,23,27,27,"1",51.7980000972748,4,"responseA5_responseA50_responseB5_responseB50"
"6157b65e",4,0.25,"filtbars",579.598000049591,16,18,"woman","45-54","Bachelor's degree","Weekly","no.",0.241144373302149,-1.0519249616805,8,12,11,7,0.258855626697851,"filterTreatment_clearFilters_filterNoTreatment_clearFilters_filterTreatment",100,0,0,10,50,50,17,19,33,31,"2",22.3949999809265,1,"responseA5_responseA50_responseB5_responseB50"
"6157b65e",4,0.25,"filtbars",579.598000049591,16,18,"woman","45-54","Bachelor's degree","Weekly","no.",0.327218011125282,5.88180331871405,43,69,23,34,0.997218011125282,"filterNoTreatment_clearFilters_filterTreatment_clearFilters_filterNoTreatment_clearFilters_filterTreatment",500,0.2,0,16,67,33,96,101,154,149,"3",21.8269999027252,7,"responseA6_responseA67_responseB5_responseB55_responseB5_responseB3_responseB33"
"6157b65e",4,0.25,"filtbars",579.598000049591,16,18,"woman","45-54","Bachelor's degree","Weekly","no.",0.278095150402714,1.25460013341194,51,66,23,35,0.778095150402714,"filterNoTreatment_clearFilters_filterTreatment",500,0.1,0,15,50,50,95,100,155,150,"4",27.0859999656677,6,"responseA5_responseA50_responseA50_responseA5_responseA50"
"6157b65e",4,0.25,"filtbars",579.598000049591,16,18,"woman","45-54","Bachelor's degree","Weekly","no.",0.110130776816482,0.447861964694056,5,11,7,5,0.610130776816482,"filterNoTreatment_clearFilters_filterTreatment_clearFilters_filterNoTreatment",100,0.2,0,12,50,50,22,20,28,30,"5",18.6510000228882,3,"responseA5_responseA50_responseB5_responseB50"
"6157b65e",4,0.25,"filtbars",579.598000049591,16,18,"woman","45-54","Bachelor's degree","Weekly","no.",0.619616633215421,-2.93639726267315,179,176,95,93,0.0503833667845788,"filterNoTreatment_clearFilters_filterTreatment_clearFilters_filterNoTreatment",1500,0,0,6,67,33,292,294,458,456,"6",18.7130000591278,13,"responseA6_responseA67"
"6157b65e",4,0.25,"filtbars",579.598000049591,16,18,"woman","45-54","Bachelor's degree","Weekly","no.",0.668496344697017,-6.49835147964109,201,167,94,88,0.00150365530298298,"filterNoTreatment_clearFilters_filterTreatment",1500,0,0,-2,67,33,310,281,440,469,"7",41.1119999885559,-2,"responseA6_responseA67"
"6157b65e",4,0.25,"filtbars",579.598000049591,16,18,"woman","45-54","Bachelor's degree","Weekly","no.",0.235715029108743,-1.02381489887182,56,58,34,38,0.264284970891257,"filterNoTreatment_clearFilters_filterTreatment",500,0,0,14,50,50,103,94,147,156,"8",17.3149998188019,5,"responseA5_responseA50_responseB5_responseB50"
"6157b65e",4,0.25,"filtbars",579.598000049591,16,18,"woman","45-54","Bachelor's degree","Weekly","no.",0.329978589174161,10.7515924724526,83,122,27,57,0.999978589174161,"filterNoTreatment_clearFilters_filterTreatment",1000,0.4,0,5,67,33,198,201,302,299,"9",10.6819999217987,12,"responseA6_responseA67"
"6157b65e",4,0.25,"filtbars",579.598000049591,16,18,"woman","45-54","Bachelor's degree","Weekly","no.",0.390358989837454,-0.946243010743274,167,193,89,82,0.279641010162546,"filterNoTreatment_clearFilters_filterTreatment_clearFilters_filterNoTreatment",1500,0.1,0,7,67,33,302,308,448,442,"10",24.835000038147,14,"responseA6_responseA67"
