"workerId","batch","bonus","condition","duration","interact","n_data_conds","n_trials","gender","age","education","chart_use","problems","A","B","C","D","abs_err","causal_support","ground_truth","interactions","n","nA","nB","nC","nD","p_immun","payoff","q_idx","response_A","response_B","trial","trial_dur","trial_idx"
"fccb21d5",1,0.25,"icons",1268.90199995041,FALSE,16,16,"man","35-44","Bachelor's degree","Daily","No I did not encounter any issues while completing the experiment. Everything was clearly presented.",60,0,63,0,0.185684167342251,-1.23284331065145,0.225684167342251,"placeholder",1000,189,311,212,288,0,0,11,4,96,"1",152.34299993515,9
"fccb21d5",1,0.25,"icons",1268.90199995041,FALSE,16,16,"man","35-44","Bachelor's degree","Daily","No I did not encounter any issues while completing the experiment. Everything was clearly presented.",225,4,300,7,0.611385642114208,-1.82684663075906,0.138614357885792,"placeholder",5000,1009,1491,1058,1442,0.3,0,1,75,25,"2",144.112999916077,15
"fccb21d5",1,0.25,"icons",1268.90199995041,FALSE,16,16,"man","35-44","Bachelor's degree","Daily","No I did not encounter any issues while completing the experiment. Everything was clearly presented.",19,0,27,0,0.0864689463777549,2.05516969573826,0.886468946377755,"placeholder",500,109,141,89,161,0.4,0,10,80,20,"3",91.5080001354218,8
"fccb21d5",1,0.25,"icons",1268.90199995041,FALSE,16,16,"man","35-44","Bachelor's degree","Daily","No I did not encounter any issues while completing the experiment. Everything was clearly presented.",39,0,61,0,0.368780052023407,3.43498035289272,0.968780052023407,"placeholder",1000,193,307,207,293,0.3,0,13,60,40,"4",55.2200000286102,11
"fccb21d5",1,0.25,"icons",1268.90199995041,FALSE,16,16,"man","35-44","Bachelor's degree","Daily","No I did not encounter any issues while completing the experiment. Everything was clearly presented.",7,0,9,0,0.224115839377066,-0.973839655228844,0.274115839377066,"placeholder",100,14,36,25,25,0.1,0,4,5,95,"5",44.1050000190735,2
"fccb21d5",1,0.25,"icons",1268.90199995041,FALSE,16,16,"man","35-44","Bachelor's degree","Daily","No I did not encounter any issues while completing the experiment. Everything was clearly presented.",259,5,332,8,0.291391986804302,4.74641646647115,0.991391986804302,"placeholder",5000,1014,1486,992,1508,0.1,0,16,70,30,"6",40.0479998588562,14
"fccb21d5",1,0.25,"icons",1268.90199995041,FALSE,16,16,"man","35-44","Bachelor's degree","Daily","No I did not encounter any issues while completing the experiment. Everything was clearly presented.",36,0,37,0,0.077012257823303,-1.53672232307673,0.177012257823303,"placeholder",500,95,155,104,146,0,0,7,10,90,"7",55.9179999828339,5
"fccb21d5",1,0.25,"icons",1268.90199995041,FALSE,16,16,"man","35-44","Bachelor's degree","Daily","No I did not encounter any issues while completing the experiment. Everything was clearly presented.",26,2,35,2,0.081719842636464,-0.935946572961797,0.281719842636464,"placeholder",500,87,163,107,143,0.1,0,8,20,80,"8",76.0390000343323,6
"fccb21d5",1,0.25,"icons",1268.90199995041,FALSE,16,16,"man","35-44","Bachelor's degree","Daily","No I did not encounter any issues while completing the experiment. Everything was clearly presented.",4,0,5,0,0.462206016114231,0.0488337667831544,0.512206016114231,"placeholder",100,19,31,18,32,0.4,0,6,5,95,"9",89.595999956131,4
"fccb21d5",1,0.25,"icons",1268.90199995041,FALSE,16,16,"man","35-44","Bachelor's degree","Daily","No I did not encounter any issues while completing the experiment. Everything was clearly presented.",34,1,69,1,0.0487313326312481,6.66851877256346,0.998731332631248,"placeholder",1000,208,292,211,289,0.4,0.25,14,95,5,"10",38.4660000801086,12
